Numero_Linha_Original,Problema,Conteudo_Linha
7880,"Esperava 91 colunas, encontrou 92","['OS', '10101710/24', 'Aberta         ', '', 'VEM-36', 'PARTIDO PROGRESSISTA                                   ', 'PARTIDO PROGR       ', '74703034000189', '000114901560001', 'Reclamação', 'Anatel Serviços', 'Alteração Endereço de Instalação', 'PATRICIA CORREIA DA SILVA', 'Ranking', 'Anatel Empresarial', '', '8352', '29/07/2024 15:32:24', '29/07/2024 15:32:24', '29/07/2024 15:32:24', '29/07/2024 15:32:24', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'F115164', '', '', '', '', '0', '534842', 'Z331291', '', '', '', 'ID: 202407248320813 Razão Soci', '0', '10101710/24', '6', '0', '0', 'Luciana', '  51 999045771 tesourariageral@pp-rs.org.br', '', '', '', 'CNPJ', '', 'Encaminhamento ', '', '1440', '60', '8352', '348', '0', '0,00', '202407248320813', '', 'TAD', 'PAE', 'RS', 'PORTO ALEGRE', '', '', 'Anatel Empresarial', 'ID: 7470303400018', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
7881,"Esperava 91 colunas, encontrou 92","['OS', '10101710/24', 'Aberta         ', '', 'VEM-36', 'PARTIDO PROGRESSISTA                                   ', 'PARTIDO PROGR       ', '74703034000189', '000114901560001', 'Reclamação', 'Anatel Serviços', 'Alteração Endereço de Instalação', 'PATRICIA CORREIA DA SILVA', 'Ranking', 'Anatel Empresarial', '', '8352', '29/07/2024 15:32:24', '30/07/2024 10:05:53', '29/07/2024 15:32:24', '29/07/2024 17:01:28', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'F115164', '', '', '', '', '0', '534842', 'Z331291', '', '', '', 'OS ANATEL, FAVOR PRIORIZAR Pre', '0', '10101710/24', '6', '0', '0', 'Luciana', '  51 999045771 tesourariageral@pp-rs.org.br', '', '', '', 'CNPJ', '', 'Encaminhamento ', '', '1440', '60', '8352', '348', '0', '0,00', '202407248320813', '', 'TAD', 'PAE', 'RS', 'PORTO ALEGRE', '', '', 'Anatel Empresarial', 'ID: 7470303400018', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
7882,"Esperava 91 colunas, encontrou 92","['OS', '10101710/24', 'Aberta         ', '', 'VEM-36', 'PARTIDO PROGRESSISTA                                   ', 'PARTIDO PROGR       ', '74703034000189', '000114901560001', 'Reclamação', 'Anatel Serviços', 'Alteração Endereço de Instalação', '', 'Ranking', 'PV Técnico EBT (CS)', '', '8352', '29/07/2024 15:32:24', '', '30/07/2024 10:05:53', '', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'F115164', '', '', '', '', '0', '534842', 'Z331291', '', '', '', 'OS ANATEL, FAVOR PRIORIZAR Pre', '0', '10101710/24', '6', '0', '0', 'Luciana', '  51 999045771 tesourariageral@pp-rs.org.br', '', '', '', 'CNPJ', '', '', '', '1440', '60', '8352', '348', '0', '0,00', '202407248320813', '', 'TAD', 'PAE', 'RS', 'PORTO ALEGRE', '', '', 'Anatel Empresarial', 'ID: 7470303400018', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22579,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'MILER MARTINS DE ALMEIDA', 'Solicitação', 'Operação Local BA', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '14/08/2024 18:25:47', '14/08/2024 18:25:47', '14/08/2024 18:25:47', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'AÇÃO: MIGRAÇÃO DE ACESSO ADE P', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Encaminhamento ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22580,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'LUCAS DE ALMEIDA GOMES', 'Solicitação', 'Migração Centralizada', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '16/08/2024 11:26:28', '14/08/2024 18:25:47', '16/08/2024 11:00:57', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Prezados,  por favor confirmar', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Encaminhamento ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22581,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'ITP SISTEMA', 'Solicitação', 'Operação Local BA', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '16/08/2024 11:26:28', '16/08/2024 11:26:28', '16/08/2024 11:00:57', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Atribuição automática para MMI', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Atribuição     ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22582,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'MILER MARTINS DE ALMEIDA', 'Solicitação', 'Operação Local BA', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '16/09/2024 13:59:21', '16/08/2024 11:26:28', '16/08/2024 11:00:57', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Irá para 4M Full.  Alterar a D', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Encaminhamento ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22583,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'ITP SISTEMA', 'Solicitação', 'Migração Centralizada', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '16/09/2024 13:59:21', '16/09/2024 13:59:21', '16/08/2024 11:00:57', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Atribuição automática para Z45', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Atribuição     ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22584,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'LUCAS DE ALMEIDA GOMES', 'Solicitação', 'Migração Centralizada', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '18/09/2024 17:48:30', '16/09/2024 13:59:21', '16/08/2024 11:00:57', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Projeto: PROJETO DE QUALIDADE ', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Encaminhamento ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22585,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'ADRIANO LUIS PERON', 'Solicitação', 'PVT STAR 21 (CS)', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '19/09/2024 15:40:41', '18/09/2024 17:48:30', '19/09/2024 12:58:46', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Solicitação atribuída para o G', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Atribuição     ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
